,지역,키워드,언급수,월
0,강릉시,강릉,4199,7월
1,강릉시,여행,1945,7월
2,강릉시,해변,1317,7월
3,강릉시,바다,1303,7월
4,강릉시,카페,1102,7월
5,강릉시,사진,1094,7월
6,강릉시,커피,942,7월
7,강릉시,순두부,817,7월
8,강릉시,맛집,699,7월
9,강릉시,강원도,620,7월
10,강릉시,강릉시,603,7월
11,강릉시,포토존,553,7월
12,강릉시,뷰,523,7월
13,강릉시,주차,457,7월
14,강릉시,주문진,456,7월
15,강릉시,빵,422,7월
16,강릉시,초당,415,7월
17,강릉시,해수욕장,383,7월
18,강릉시,여름,383,7월
19,강릉시,회,378,7월
20,강릉시,가족,348,7월
21,강릉시,밥,333,7월
22,강릉시,아르떼,322,7월
23,강릉시,경포,321,7월
24,강릉시,강원,315,7월
25,강릉시,날씨,297,7월
26,강릉시,중앙시장,283,7월
27,강릉시,음식,283,7월
28,강릉시,저녁,274,7월
29,강릉시,가게,271,7월
30,거제시,거제,3199,7월
31,거제시,거제도,1848,7월
32,거제시,여행,1680,7월
33,거제시,사진,1327,7월
34,거제시,바다,1230,7월
35,거제시,카페,933,7월
36,거제시,수국,906,7월
37,거제시,포토존,818,7월
38,거제시,맛집,804,7월
39,거제시,뷰,779,7월
40,거제시,거제시,657,7월
41,거제시,해수욕장,639,7월
42,거제시,펜션,594,7월
43,거제시,주차,512,7월
44,거제시,여름,478,7월
45,거제시,가족,430,7월
46,거제시,외도,429,7월
47,거제시,섬,419,7월
48,거제시,커피,388,7월
49,거제시,날씨,382,7월
50,거제시,풍경,370,7월
51,거제시,오션,366,7월
52,거제시,경남,359,7월
53,거제시,풀,316,7월
54,거제시,배,311,7월
55,거제시,밥,305,7월
56,거제시,체험,297,7월
57,거제시,꽃,292,7월
58,거제시,계곡,283,7월
59,거제시,호텔,280,7월
60,동해시,동해,2525,7월
61,동해시,바다,1658,7월
62,동해시,여행,1639,7월
63,동해시,스카이밸리,1125,7월
64,동해시,해수욕장,1084,7월
65,동해시,동해시,1044,7월
66,동해시,촛대바위,958,7월
67,동해시,해변,945,7월
68,동해시,사진,937,7월
69,동해시,카페,755,7월
70,동해시,강원도,706,7월
71,동해시,무릉,654,7월
72,동해시,숙소,628,7월
73,동해시,전망대,622,7월
74,동해시,체험,549,7월
75,동해시,계곡,528,7월
76,동해시,여름,492,7월
77,동해시,묵호,467,7월
78,동해시,삼척,465,7월
79,동해시,동굴,464,7월
80,동해시,맛집,460,7월
81,동해시,뷰,421,7월
82,동해시,호텔,420,7월
83,동해시,묵호항,405,7월
84,동해시,연필,379,7월
85,동해시,풍경,353,7월
86,동해시,주차,349,7월
87,동해시,등대,334,7월
88,동해시,회,324,7월
89,동해시,비치,320,7월
90,부여군,부여,4065,7월
91,부여군,연꽃,2248,7월
92,부여군,궁남지,1512,7월
93,부여군,여행,1462,7월
94,부여군,축제,1239,7월
95,부여군,사진,1212,7월
96,부여군,롯데리조트,815,7월
97,부여군,백제,810,7월
98,부여군,포토존,555,7월
99,부여군,박물관,550,7월
100,부여군,카페,489,7월
101,부여군,정림사지,472,7월
102,부여군,낙화암,446,7월
103,부여군,체험,438,7월
104,부여군,문화,403,7월
105,부여군,막국수,394,7월
106,부여군,숙소,386,7월
107,부여군,버스,386,7월
108,부여군,서동,377,7월
109,부여군,맛집,359,7월
110,부여군,역사,358,7월
111,부여군,밤,348,7월
112,부여군,공주,322,7월
113,부여군,여름,319,7월
114,부여군,주차,319,7월
115,부여군,꽃,318,7월
116,부여군,나무,302,7월
117,부여군,공원,301,7월
118,부여군,백마강,300,7월
119,부여군,연못,280,7월
120,서귀포시,제주,3380,7월
121,서귀포시,여행,2252,7월
122,서귀포시,제주도,2087,7월
123,서귀포시,사진,1158,7월
124,서귀포시,카페,939,7월
125,서귀포시,서귀포시,810,7월
126,서귀포시,서귀포,774,7월
127,서귀포시,바다,742,7월
128,서귀포시,맛집,658,7월
129,서귀포시,숙소,630,7월
130,서귀포시,호텔,570,7월
131,서귀포시,수국,566,7월
132,서귀포시,뷰,453,7월
133,서귀포시,돼지,441,7월
134,서귀포시,갈치,400,7월
135,서귀포시,풍경,384,7월
136,서귀포시,여름,375,7월
137,서귀포시,식당,362,7월
138,서귀포시,고기,362,7월
139,서귀포시,주차,358,7월
140,서귀포시,밥,341,7월
141,서귀포시,날씨,331,7월
142,서귀포시,체험,320,7월
143,서귀포시,커피,317,7월
144,서귀포시,꽃,311,7월
145,서귀포시,가족,310,7월
146,서귀포시,분위기,291,7월
147,서귀포시,해수욕장,279,7월
148,서귀포시,가파도,277,7월
149,서귀포시,음식,271,7월
150,양양군,양양,3019,7월
151,양양군,여행,1854,7월
152,양양군,바다,1553,7월
153,양양군,서핑,1342,7월
154,양양군,사진,1206,7월
155,양양군,해변,1132,7월
156,양양군,비치,1017,7월
157,양양군,숙소,975,7월
158,양양군,카페,852,7월
159,양양군,강원도,604,7월
160,양양군,해수욕장,567,7월
161,양양군,맛집,508,7월
162,양양군,날씨,486,7월
163,양양군,친구,477,7월
164,양양군,뷰,460,7월
165,양양군,파도,416,7월
166,양양군,커피,413,7월
167,양양군,아침,412,7월
168,양양군,속초,408,7월
169,양양군,예약,406,7월
170,양양군,여름,394,7월
171,양양군,저녁,390,7월
172,양양군,호텔,384,7월
173,양양군,낙산사,370,7월
174,양양군,강습,348,7월
175,양양군,죽도,336,7월
176,양양군,분위기,325,7월
177,양양군,막국수,323,7월
178,양양군,버스,318,7월
179,양양군,맥주,298,7월
180,여수시,여수,5435,7월
181,여수시,여행,2136,7월
182,여수시,바다,1580,7월
183,여수시,사진,1227,7월
184,여수시,카페,864,7월
185,여수시,맛집,800,7월
186,여수시,게장,702,7월
187,여수시,뷰,659,7월
188,여수시,여수시,611,7월
189,여수시,빵,604,7월
190,여수시,이순신,598,7월
191,여수시,오동도,572,7월
192,여수시,밤,555,7월
193,여수시,호텔,543,7월
194,여수시,주차,518,7월
195,여수시,김밥,494,7월
196,여수시,광장,493,7월
197,여수시,케이블카,474,7월
198,여수시,숙소,454,7월
199,여수시,낭만,448,7월
200,여수시,루지,389,7월
201,여수시,식당,383,7월
202,여수시,여름,361,7월
203,여수시,공원,358,7월
204,여수시,포차,344,7월
205,여수시,밥,343,7월
206,여수시,아이스크림,334,7월
207,여수시,버거,326,7월
208,여수시,오션,325,7월
209,여수시,크루즈,323,7월
210,울진군,울진,3161,7월
211,울진군,바다,1728,7월
212,울진군,여행,1708,7월
213,울진군,스카이워크,1152,7월
214,울진군,사진,925,7월
215,울진군,카페,634,7월
216,울진군,대게,602,7월
217,울진군,숙소,540,7월
218,울진군,레일,496,7월
219,울진군,성류굴,464,7월
220,울진군,뷰,455,7월
221,울진군,산,434,7월
222,울진군,온천,433,7월
223,울진군,여름,393,7월
224,울진군,해변,387,7월
225,울진군,맛집,365,7월
226,울진군,공원,348,7월
227,울진군,날씨,333,7월
228,울진군,식당,327,7월
229,울진군,펜션,321,7월
230,울진군,가족,316,7월
231,울진군,아침,310,7월
232,울진군,동해,301,7월
233,울진군,해수욕장,301,7월
234,울진군,밥,282,7월
235,울진군,망양정,276,7월
236,울진군,체험,266,7월
237,울진군,동굴,261,7월
238,울진군,게,259,7월
239,울진군,물놀이,250,7월
240,인제군,인제,2013,7월
241,인제군,여행,1547,7월
242,인제군,강원도,1132,7월
243,인제군,사진,962,7월
244,인제군,계곡,957,7월
245,인제군,숙소,648,7월
246,인제군,아침,556,7월
247,인제군,여름,536,7월
248,인제군,카페,516,7월
249,인제군,래프팅,509,7월
250,인제군,숲,482,7월
251,인제군,막국수,427,7월
252,인제군,속초,420,7월
253,인제군,바다,413,7월
254,인제군,펜션,412,7월
255,인제군,산,386,7월
256,인제군,자작나무,375,7월
257,인제군,맛집,367,7월
258,인제군,황태,364,7월
259,인제군,체험,355,7월
260,인제군,가족,349,7월
261,인제군,식당,342,7월
262,인제군,저녁,324,7월
263,인제군,물놀이,318,7월
264,인제군,호텔,316,7월
265,인제군,밥,301,7월
266,인제군,버스,296,7월
267,인제군,풍경,295,7월
268,인제군,커피,295,7월
269,인제군,휴게소,284,7월
270,제주시,제주,2516,7월
271,제주시,제주도,1527,7월
272,제주시,제주시,1511,7월
273,제주시,여행,1381,7월
274,제주시,카페,1085,7월
275,제주시,사진,987,7월
276,제주시,맛집,838,7월
277,제주시,공항,552,7월
278,제주시,호텔,551,7월
279,제주시,커피,494,7월
280,제주시,숙소,448,7월
281,제주시,주차,404,7월
282,제주시,바다,368,7월
283,제주시,고기,363,7월
284,제주시,밥,352,7월
285,제주시,식당,350,7월
286,제주시,음식,337,7월
287,제주시,돼지,336,7월
288,제주시,친구,288,7월
289,제주시,갈치,282,7월
290,제주시,분위기,280,7월
291,제주시,저녁,273,7월
292,제주시,시장,269,7월
293,제주시,국수,268,7월
294,제주시,날씨,266,7월
295,제주시,뷰,253,7월
296,제주시,해수욕장,243,7월
297,제주시,빵,241,7월
298,제주시,새우,229,7월
299,제주시,게,228,7월
