,지역,키워드,언급수,월
0,강진군,강진,2695,11월
1,강진군,여행,1561,11월
2,강진군,사진,845,11월
3,강진군,가을,614,11월
4,강진군,다리,599,11월
5,강진군,공원,528,11월
6,강진군,바다,509,11월
7,강진군,다산,485,11월
8,강진군,가우,473,11월
9,강진군,산,464,11월
10,강진군,섬,432,11월
11,강진군,박물관,409,11월
12,강진군,식당,405,11월
13,강진군,체험,404,11월
14,강진군,친구,368,11월
15,강진군,갈대,364,11월
16,강진군,풍경,357,11월
17,강진군,이야기,353,11월
18,강진군,책,349,11월
19,강진군,카페,342,11월
20,강진군,광주,340,11월
21,강진군,맛집,330,11월
22,강진군,버스,328,11월
23,강진군,축제,316,11월
24,강진군,아침,308,11월
25,강진군,단풍,287,11월
26,강진군,해남,286,11월
27,강진군,역사,284,11월
28,강진군,터미널,282,11월
29,강진군,남도,279,11월
30,거제시,거제,3633,11월
31,거제시,거제도,1892,11월
32,거제시,여행,1651,11월
33,거제시,바다,1184,11월
34,거제시,사진,1123,11월
35,거제시,카페,1079,11월
36,거제시,맛집,853,11월
37,거제시,뷰,799,11월
38,거제시,펜션,637,11월
39,거제시,포토존,619,11월
40,거제시,숙소,593,11월
41,거제시,주차,569,11월
42,거제시,외도,498,11월
43,거제시,커피,464,11월
44,거제시,경남,441,11월
45,거제시,가족,416,11월
46,거제시,호텔,375,11월
47,거제시,오션,361,11월
48,거제시,유람선,360,11월
49,거제시,섬,349,11월
50,거제시,배,346,11월
51,거제시,체험,330,11월
52,거제시,식사,321,11월
53,거제시,날씨,320,11월
54,거제시,밥,315,11월
55,거제시,음식,310,11월
56,거제시,케이블카,306,11월
57,거제시,언덕,301,11월
58,거제시,풍경,297,11월
59,거제시,해금강,293,11월
60,경주시,경주,4586,11월
61,경주시,여행,2151,11월
62,경주시,사진,1505,11월
63,경주시,가을,803,11월
64,경주시,카페,770,11월
65,경주시,첨성대,731,11월
66,경주시,불국사,707,11월
67,경주시,포토존,698,11월
68,경주시,월정교,697,11월
69,경주시,단풍,693,11월
70,경주시,대릉,598,11월
71,경주시,주차,527,11월
72,경주시,맛집,517,11월
73,경주시,동궁,460,11월
74,경주시,신라,410,11월
75,경주시,월지,404,11월
76,경주시,빵,399,11월
77,경주시,야경,398,11월
78,경주시,가족,383,11월
79,경주시,분위기,320,11월
80,경주시,풍경,313,11월
81,경주시,아침,301,11월
82,경주시,커피,297,11월
83,경주시,체험,294,11월
84,경주시,나무,291,11월
85,경주시,무료,284,11월
86,경주시,밤,283,11월
87,경주시,저녁,280,11월
88,경주시,입장,279,11월
89,경주시,산책,278,11월
90,단양군,단양,4071,11월
91,단양군,여행,2019,11월
92,단양군,사진,1599,11월
93,단양군,만천하스카이워크,1444,11월
94,단양군,패러글라이딩,1098,11월
95,단양군,시장,972,11월
96,단양군,카페,832,11월
97,단양군,단풍,743,11월
98,단양군,풍경,657,11월
99,단양군,도담삼봉,656,11월
100,단양군,숙소,625,11월
101,단양군,가을,565,11월
102,단양군,주차,541,11월
103,단양군,산,509,11월
104,단양군,터널,490,11월
105,단양군,유람선,490,11월
106,단양군,떡갈비,414,11월
107,단양군,닭강정,411,11월
108,단양군,맛집,384,11월
109,단양군,뷰,370,11월
110,단양군,빵,343,11월
111,단양군,아침,332,11월
112,단양군,하늘,328,11월
113,단양군,식당,326,11월
114,단양군,전망대,325,11월
115,단양군,카페산,325,11월
116,단양군,입구,317,11월
117,단양군,날씨,315,11월
118,단양군,충북,314,11월
119,단양군,체험,312,11월
120,밀양시,밀양,3934,11월
121,밀양시,사진,1308,11월
122,밀양시,여행,1303,11월
123,밀양시,가을,913,11월
124,밀양시,단풍,797,11월
125,밀양시,은행나무,792,11월
126,밀양시,카페,781,11월
127,밀양시,체험,624,11월
128,밀양시,사과,607,11월
129,밀양시,주차,605,11월
130,밀양시,풍경,475,11월
131,밀양시,맛집,426,11월
132,밀양시,터널,421,11월
133,밀양시,나무,376,11월
134,밀양시,영남루,364,11월
135,밀양시,펜션,349,11월
136,밀양시,산,318,11월
137,밀양시,경남,303,11월
138,밀양시,커피,295,11월
139,밀양시,연정,295,11월
140,밀양시,밀양시,294,11월
141,밀양시,뷰,294,11월
142,밀양시,숙소,292,11월
143,밀양시,주말,275,11월
144,밀양시,케이블카,275,11월
145,밀양시,친구,269,11월
146,밀양시,표충사,269,11월
147,밀양시,아침,263,11월
148,밀양시,날씨,252,11월
149,밀양시,돼지국밥,249,11월
150,삼척시,삼척,3716,11월
151,삼척시,여행,1826,11월
152,삼척시,바다,1650,11월
153,삼척시,사진,1117,11월
154,삼척시,비치,844,11월
155,삼척시,뷰,644,11월
156,삼척시,강원도,630,11월
157,삼척시,해수욕장,579,11월
158,삼척시,숙소,576,11월
159,삼척시,카페,557,11월
160,삼척시,해변,543,11월
161,삼척시,맛집,526,11월
162,삼척시,풍경,440,11월
163,삼척시,동해,402,11월
164,삼척시,오션,375,11월
165,삼척시,아침,374,11월
166,삼척시,날씨,374,11월
167,삼척시,회,370,11월
168,삼척시,폭포,370,11월
169,삼척시,저녁,351,11월
170,삼척시,주차,327,11월
171,삼척시,가족,326,11월
172,삼척시,강릉,314,11월
173,삼척시,밥,308,11월
174,삼척시,식당,307,11월
175,삼척시,커피,297,11월
176,삼척시,산책,291,11월
177,삼척시,환선굴,286,11월
178,삼척시,대게,266,11월
179,삼척시,리조트,264,11월
180,서귀포시,제주,3635,11월
181,서귀포시,여행,2532,11월
182,서귀포시,제주도,2069,11월
183,서귀포시,사진,1317,11월
184,서귀포시,카페,957,11월
185,서귀포시,서귀포시,855,11월
186,서귀포시,바다,712,11월
187,서귀포시,체험,701,11월
188,서귀포시,숙소,658,11월
189,서귀포시,포토존,608,11월
190,서귀포시,호텔,558,11월
191,서귀포시,맛집,520,11월
192,서귀포시,귤,460,11월
193,서귀포시,뷰,446,11월
194,서귀포시,풍경,428,11월
195,서귀포시,주차,427,11월
196,서귀포시,갈치,394,11월
197,서귀포시,날씨,387,11월
198,서귀포시,가족,387,11월
199,서귀포시,감귤,379,11월
200,서귀포시,돼지,377,11월
201,서귀포시,식당,368,11월
202,서귀포시,오름,344,11월
203,서귀포시,겨울,312,11월
204,서귀포시,가을,311,11월
205,서귀포시,커피,311,11월
206,서귀포시,게,276,11월
207,서귀포시,분위기,275,11월
208,서귀포시,아침,274,11월
209,서귀포시,정원,273,11월
210,여수시,여수,5866,11월
211,여수시,여행,2373,11월
212,여수시,바다,1738,11월
213,여수시,사진,1230,11월
214,여수시,뷰,803,11월
215,여수시,카페,779,11월
216,여수시,밤,700,11월
217,여수시,포토존,681,11월
218,여수시,숙소,621,11월
219,여수시,맛집,621,11월
220,여수시,여수시,600,11월
221,여수시,게장,560,11월
222,여수시,빵,544,11월
223,여수시,호텔,533,11월
224,여수시,오동도,524,11월
225,여수시,주차,517,11월
226,여수시,공원,511,11월
227,여수시,이순신,510,11월
228,여수시,케이블카,504,11월
229,여수시,루지,487,11월
230,여수시,가족,458,11월
231,여수시,메뉴,406,11월
232,여수시,오션,400,11월
233,여수시,수영장,387,11월
234,여수시,낭만,378,11월
235,여수시,섬,377,11월
236,여수시,풍경,344,11월
237,여수시,돌산,333,11월
238,여수시,리조트,325,11월
239,여수시,김밥,321,11월
240,제주시,제주,2915,11월
241,제주시,제주시,1859,11월
242,제주시,여행,1483,11월
243,제주시,제주도,1426,11월
244,제주시,카페,1077,11월
245,제주시,사진,1009,11월
246,제주시,맛집,920,11월
247,제주시,커피,717,11월
248,제주시,공항,705,11월
249,제주시,숙소,554,11월
250,제주시,바다,526,11월
251,제주시,호텔,520,11월
252,제주시,고기,506,11월
253,제주시,주차,457,11월
254,제주시,갈치,403,11월
255,제주시,음식,392,11월
256,제주시,밥,369,11월
257,제주시,돼지,356,11월
258,제주시,식당,329,11월
259,제주시,게,327,11월
260,제주시,친구,319,11월
261,제주시,분위기,319,11월
262,제주시,체험,311,11월
263,제주시,뷰,291,11월
264,제주시,국수,284,11월
265,제주시,식사,282,11월
266,제주시,감귤,265,11월
267,제주시,아침,261,11월
268,제주시,저녁,257,11월
269,제주시,귤,251,11월
270,태안군,태안,3547,11월
271,태안군,여행,2131,11월
272,태안군,바다,1383,11월
273,태안군,사진,1376,11월
274,태안군,카페,1013,11월
275,태안군,펜션,897,11월
276,태안군,숙소,833,11월
277,태안군,해수욕장,831,11월
278,태안군,안면도,756,11월
279,태안군,방문,566,11월
280,태안군,가을,561,11월
281,태안군,체험,515,11월
282,태안군,수목원,483,11월
283,태안군,뷰,473,11월
284,태안군,바베큐,429,11월
285,태안군,맛집,423,11월
286,태안군,커피,412,11월
287,태안군,팜파스,368,11월
288,태안군,조개,361,11월
289,태안군,저녁,357,11월
290,태안군,게국지,355,11월
291,태안군,아침,353,11월
292,태안군,해변,332,11월
293,태안군,밥,331,11월
294,태안군,고기,314,11월
295,태안군,주차,310,11월
296,태안군,풍경,308,11월
297,태안군,꽃지,291,11월
298,태안군,꽃,285,11월
299,태안군,게,273,11월
